"skills","skill_count"
"python","5"
"aws","3"
"postgresql","2"
"pytorch","2"
"c++","2"
"looker","2"
"scala","2"
"spark","2"
"sql","2"
"mongodb","2"
"git","2"
"mysql","2"
"docker","2"
"kafka","1"
"keras","1"
"kubernetes","1"
"linux","1"
"nosql","1"
"opencv","1"
"pandas","1"
"redshift","1"
"sap","1"
"tableau","1"
"airflow","1"
"tensorflow","1"
"azure","1"
"bigquery","1"
"c","1"
"debian","1"
"excel","1"
"gitlab","1"
"go","1"
"hadoop","1"
"java","1"
"jenkins","1"
"jira","1"
"jupyter","1"
